date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:30	276/276	---M-Z	200	added ('OK')	text/plain	etag:%2230ccc0cdc3a7dc1:0%22	https://www.kccitm.edu.in/robots.txt		(from )
11:26:32	352957/352957	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2005:56:29%20GMT	https://www.kccitm.edu.in/	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/index.html	(from )
11:26:32	5890/5890	---M--	200	added ('OK')	image/webp	etag:%2256a63bacfad1db1:0%22	https://www.kccitm.edu.in/images/kcc-logo-new.webp	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/images/kcc-logo-new.webp	(from https://www.kccitm.edu.in/)
11:26:33	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2286106a6cc780d51:0%22	https://www.kccitm.edu.in/images/favicon.ico	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/images/favicon.ico	(from https://www.kccitm.edu.in/)
11:26:34	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%226760ad4c-51a1%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	(from https://www.kccitm.edu.in/)
11:26:34	124970/124970	---M-Z	200	added ('OK')	text/css	etag:%2287a327f78e94d51:0%22	https://www.kccitm.edu.in/vendor/bootstrap/css/bootstrap.min.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/vendor/bootstrap/css/bootstrap.min.css	(from https://www.kccitm.edu.in/)
11:26:34	7354/7354	---MCZ	200	added ('OK')	text/css	etag:%22ec26292e52e5bc20624b029974bd0adf%22	https://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from https://www.kccitm.edu.in/)
11:26:35	126380/126380	---M-Z	200	added ('OK')	text/css	etag:%228fccf0a29d5fdc1:0%22	https://www.kccitm.edu.in/css/style.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/css/style.css	(from https://www.kccitm.edu.in/)
11:26:35	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%227bccfd8b63d4db1:0%22	https://www.kccitm.edu.in/css/aos.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/css/aos.css	(from https://www.kccitm.edu.in/)
11:26:36	1782/1782	---M-Z	200	added ('OK')	text/css	etag:%225febd6cb5d2db1:0%22	https://www.kccitm.edu.in/css/dynamic.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/css/dynamic.css	(from https://www.kccitm.edu.in/)
11:26:36	2793/2793	---M-Z	200	added ('OK')	text/css	etag:%228c7ebccb5d2db1:0%22	https://www.kccitm.edu.in/css/owl.carousel.min.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/css/owl.carousel.min.css	(from https://www.kccitm.edu.in/)
11:26:37	822/822	---M-Z	200	added ('OK')	text/css	etag:%22adf1a8cb5d2db1:0%22	https://www.kccitm.edu.in/css/owl.theme.default.min.css	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/css/owl.theme.default.min.css	(from https://www.kccitm.edu.in/)
11:26:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2006%20Mar%202026%2005:56:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.kccitm.edu.in/)
11:26:39	361739/361739	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Mar%202026%2005:56:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/connect.facebook.net/en_US/fbevents.js	(from https://www.kccitm.edu.in/)
11:26:39	53612/53612	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Dec%202025%2008:26:36%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://www.kccitm.edu.in/)
11:26:40	348/348	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Mar%202026%2005:56:39%20GMT	https://www.kccitm.edu.in/WebResource.axd?d=HnCUIBlQUvRcJbG6TXyUs0geAqjsS8C9aYzWTqCH15depa3wQ8khSzg0lAPsQ3FNseMDLXBsBa7PLYoE-T7nJZpk_YwoBlMbANOGWSLdKoYEd4oK1T0AT2lQ7XoTTzTlV0Vllmm_HA6biRMB8rjd4gC0_aA1&t=637064337299125615	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/WebResource.d0ad0.delayed	(from https://www.kccitm.edu.in/)
11:26:40	872/872	---M--	200	added ('OK')	text/css	date:Sat,%2012%20Oct%202019%2006:35:29%20GMT	https://www.kccitm.edu.in/webresource.axd?d=HnCUIBlQUvRcJbG6TXyUs0geAqjsS8C9aYzWTqCH15depa3wQ8khSzg0lAPsQ3FNseMDLXBsBa7PLYoE-T7nJZpk_YwoBlMbANOGWSLdKoYEd4oK1T0AT2lQ7XoTTzTlV0Vllmm_HA6biRMB8rjd4gC0_aA1&t=637064337299125615	C:/Users/TRT/Desktop/kccitm-clone/kccitm-clone/www.kccitm.edu.in/webresource0ad0.css	(from https://www.kccitm.edu.in/)
